,Code,Product,Dilution,Quantity,Unit,Unit Price,Price,Currency,Supplier,Delievry Date,Cateogory,Odour (decreasing),CAS No,Odour Desciption,Type,order_id
0,,Ethyl maltol,1.0,10,g,0.599,5.99,GBP,Fragrance Foundry,2024-06-03,,,4940-11-8,,—,0
1,,Hedione,1.0,10,g,0.599,5.99,GBP,Fragrance Foundry,2024-06-03,,,24851-98-7,,—,0
2,,Ambroxan,0.1,10,g,7.0,7.0,GBP,Pell Wall,2024-06-19,,,6790-58-5,,—,10
3,,Labdanum Absolute,0.5,10,g,2.2,11.0,GBP,Pell Wall,2024-06-19,,,8016-26-0,,Natural absolute (mixture),10
4,,Bergamot BF,1.0,10,g,0.7,7.0,GBP,Pell Wall,2024-06-19,,,68648-33-9,,Natural oil fraction,10
5,,Coumarin,1.0,10,g,0.7,7.0,GBP,Pell Wall,2024-06-19,,"Sweet, hay, tonka, new-mown-hay",91-64-5,,—,10
6,,Methyl Ionone Gamma Pure,1.0,10,g,0.6,6.0,GBP,Pell Wall,2024-06-19,,,127-51-5,,—,10
7,,Vertofix Coeur,1.0,10,g,0.5,5.0,GBP,Pell Wall,2024-06-19,,,32388-55-9,,—,10
8,,Vanillin,1.0,30,g,0.4,12.0,GBP,Pell Wall,2024-06-19,,,121-33-5,,—,10
9,,Iso E Super,1.0,30,g,0.23333333333333334,7.0,GBP,Pell Wall,2024-06-19,,,54464-57-2,,—,10
10,,Oud Samrat,0.1,5,g,20.0,10.0,GBP,Pell Wall,2024-06-28,,,—,,Natural oud oil / proprietary blend,11
11,,Lavender Absolute,0.1,10,g,9.0,9.0,GBP,Pell Wall,2024-06-28,,,—,,Natural absolute (mixture),11
12,,Ambrettolide HC Suprême,1.0,10,g,1.3,13.0,GBP,Pell Wall,2024-06-28,Musk,,28645-51-4,,Macrocyclic musk,11
13,,Benzyl salicylate,1.0,50,g,0.18,9.0,GBP,Pell Wall,2024-06-28,,,118-58-1,,—,11
14,,Galaxolide,1.0,50,g,0.18,9.0,GBP,Pell Wall,2024-06-28,Musk,,1222-05-5,,Polycyclic musk,11
15,,Aurantiol,0.1,10,g,5.0,5.0,GBP,Pell Wall,2024-07-15,,,89-43-0,,Schiff base,12
